ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
74120010,autre,4587100,663100,74120,271 route de Sallanches,Demi Quartier,R
74130001,Carrefour Market,4607300,641900,74130,61 rue des Grebes Huppés,Bonneville,R
74130004,Shell,4606500,640900,74130,Aire de Pontchy Bonneville - A40,BONNEVILLE,A
74130006,Intermarché,4608400,640400,74130,516 Avenue de Genève,BONNEVILLE,R
74130016,TotalEnergies,4600400,639700,74130,140 rue guillaume fichet,GLIERES VAL DE BORNE,R
74140001,Bi1,4626803.23427,626289.468129,74140,ROUTE DES VOIRONS,VEIGY-FONCENEX,R
74140002,Carrefour Market,4631041.4189,631301.785587,74140,ROUTE DE THONON,DOUVAINE,R
74140003,Système U,4627100,631400,74140,Route Nationale 206 THOLOMAZ,LOISIN,R
74140004,E.Leclerc,4633115.82083,637275.576533,74140,RN5 Route de Thonon,SCIEZ,R
74140005,Intermarché,4629900,630600,74140,ZI LES ESSERTS,DOUVAINE,R
74140006,Avia,4627022.66,625700.71,74140,LES BLOSSONNIERS ROUTE DES VOIRONS,VEIGY-FONCENEX,R
74150002,Système U,4585633.9986284,594841.81554019,74150,Boulevard de l'Europe,RUMILLY,R
74150003,Intermarché,4587100,593800,74150,Avenue Roosevelt,Rumilly,R
74160001,Intermarché,4613900,607000,74160,Route des Vignes,SAINT-JULIEN-EN-GENEVOIS,R
74170001,TotalEnergies,4588000,671700,74170,1215 Avenue de Miage,SAINT-GERVAIS-LES-BAINS,R
74180001,Intermarché,4613500,646100,74490,123 ROUTE DE MONTRENAZ,SAINT-JEOIRE,R
74190003,Système U,4591878,670405,74190,91 Avenue de Marlioz,PASSY,R
74190005,Avia,4591400,671800,74190,RN 205 voie express,Passy,A
74200002,Carrefour Market,4635892,645909,74200,Chemin de Morcy,THONON-LES-BAINS,R
74200003,Carrefour,4634900,643200,74200,RTE DE GENEVE,MARGENCEL,R
74200006,Esso Express,4638000,649100,74200,54 Avenue d'Évian,Thonon-les-Bains,R
74200014,Intermarché,4633538,648231,74200,157 Route des Blaves,ALLINGES,R
74200016,Intermarché,4638020.702,649640.854,74200,7 RUE AMEDEE DE FORAS,Thonon-les-Bains,R
74200017,Avia,4637000,648900,74200,17 avenue des vallées,Thonon-les-Bains,R
74200018,inconnu,4636100,645600,74200,27 Avenue de Genève,THONON LES BAINS,R
74200019,CARBURAUTO,4634300,647700,74200,930 AVENUE DE THONON,ALLINGES,R
74200020,ENI,4635892.4572548,645275.92980999,74200,61 AVENUE DE GENEVE,Thonon-les-Bains,R
74200021,autre,4637236.2022523,648567.72254481,74200,13 AVENUE JULES FERRY,Thonon-les-Bains,R
74210001,Carrefour Market,4574900,628900,74210,Route Nationale 508,FAVERGES,R
74210002,Avia,4577600,622200,74210,680 route d'Annecy,DOUSSARD,R
74210003,Intermarché,4575333,627791,74210,ZA les Boucheroz RN 508,FAVERGES,R
74220001,Elan,4590611.13447,642205.866586,74220,664 route des Grandes Alpes,LA CLUSAZ,R
74230004,Intermarché,4590800,636500,74230,Lieu-dit Les Perrils,Les Villards-sur-Thônes,R
74230006,Avia,4588200,632300,74230,Avenue d'Annecy,Thônes,R
74230007,Carrefour Market,4588600,632900,74230,34 RUE DE LA SAULNE,Thônes,R
74240001,Intermarché,4618000,621800,74240,5 Rue René Cassin,GAILLARD,R
74250001,TotalEnergies,4614200,640500,74250,3841 ROUTE DU FER A CHEVAL,Viuz-en-Sallaz,R
74250003,Avia,4615900,636300,74250,419 Route de la Vallée du Giffre,Fillinges,R
74260002,TotalEnergies,4614900,665600,74260,ROUTE DES GRANDES ALPES,Les Gets,R
74270001,Carrefour Contact,4601800,592400,74270,ROUTE DU TRAM,FRANGY,R
74290002,TotalEnergies,4586600,618800,74290,530 Route d'Annecy,Menthon-Saint-Bernard,R
74300001,Carrefour,4606900,656900,74300,913 AVENUE GEORGES CLEMENCEAU,CLUSES,R
74300003,Esso Express,4605900,657400,74300,1 Avenue du Mont-Blanc,Cluses,R
74300004,Intermarché,4608617,652416,74300,RD 19 Lieu dit Les Bossons,Thyez,R
74300008,BP Express,4605000,659200,74300,705 Route de Chamonix,Cluses,R
74300009,Système U,4601500.715,662468.959,74300,180 allée des Noyères,Magland,R
74300011,inconnu,4603300,663700,74300,2249 ROUTE DE LA BARLIETTE,ARACHES LA FRASSE,R
74302001,TotalEnergies,4606100,656400,74300,819 Avenue de la République,Cluses,R
74310002,Système U,4589602.9,680957.3,74310,956 Avenue des Alpages,Les Houches,R
74310003,TotalEnergies,4589846,681174,74310,ROUTE NATIONALE 205 - AUTOROUTE BLANCHE,LES HOUCHES,R
74320001,Carrefour Market,4584501,615048,74320,75 Route des Pontets,Sévrier,R
74320005,Avia,4585600,614300,74320,754 route d'albertville,SEVRIER,R
74320006,autre,4586100,614100,74320,754 route d'Albertville,Sevrier,R
74330001,Auchan,4594000,607300,74330,ZI La Mandallaz,ÉPAGNY METZ-TESSY,R
74330002,TotalEnergies,4594100,608800,74330,Route Nationale 508,ÉPAGNY,R
74330003,Avia,4594899.49885,604605.205671,74330,1930 Route de Bellegarde,SILLINGY,R
74330004,E.Leclerc,4597400,603300,74330,ROUTE DES VIGNES,La Balme-de-Sillingy,R
74340001,Carrefour Market,4608524.803,670534.193,74340,1365 ROUTE DE TANINGES,SAMOENS,R
74350003,Esso,4600940,611427,74350,Route de Genève,ALLONZIER-LA-CAILLE,R
74350004,Avia,4603100,610600,74350,363 Route d'Annecy,Cruseilles,R
74350005,Système U,4600600,612000,74350,45 ROUTE DE LA CAILLE,ALLONZIER LA CAILLE,R
74350006,Avia,4601400,611100,74350,363 ROUTE D'ANNECY,CRUSEILLES,R
74360002,Intermarché,4628000,681900,74360,94 Chemin des Vorges,La Chapelle-d'Abondance,R
74360004,Avia,4628200,672300,74360,Lieu-dit Chef-Lieu la Chapelle-d'Abondance,Abondance,R
74370001,TotalEnergies,4594200,614900,74370,STATION TOTAL RN.203,Argonay,R
74370003,Carrefour Contact,4596300,613100,74370,Route Imperiale,SAINT-MARTIN-BELLEVUE,R
74380001,Système U,4617200,631200,74380,45 route de Ripaille - P.A. de la Menoge,BONNE,R
74400001,Carrefour Market,4591200,686100,74400,Route Blanche,CHAMONIX-MONT-BLANC,R
74420001,Avia,4620800,640300,74420,191 Rue Vallée Verte,Boëge,R
74430001,Carrefour Market,4623541.56534,665508.238436,74430,LE VERNAY BRON,SAINT-JEAN-D'AULPS,R
74440001,Système U,4610900,658200,74440,LE PRE MAGNIN NORD,TANINGES,R
74440002,Avia,4610200,659000,74440,382 Avenue de Thezières,TANINGES,R
74450001,TotalEnergies,4591500,641900,74450,223 Route de la Clusaz,SAINT-JEAN-DE-SIXT,R
74500001,CORA,4639000,652500,74500,RD 1005,PUBLIER,R
74500002,Carrefour,4975551.11909,37449.1663689,76400,Rue Charles le Borgne,FéCAMP,R
74500003,Système U,4635200,661600,74500,267 ROUTE DE VERS LES GRANGES,VINZIER,R
74500005,Intermarché,4640458,665083,74500,ZAC des Crêts,Lugrin,R
74500009,ENI,4639900,658000,74500,9 AVENUE ANNA DE NOUAILLES,Évian-les-Bains,R
74500010,Carrefour Market,4640100,659000,74500,7 avenue des bocquies,Évian-les-Bains,R
74520004,Intermarché,4610500,595900,74520,50 chemin des Grands Chavannoux,VULBENS,R
74520008,Avia,4609618.176,596384.263,74520,AIRE DE VALLEIRY SUD - AUTOROUTE A 40,Valleiry,A
74520009,TotalEnergies,4609740.7,596412.3,74520,A40 - KM79 - SENS MILAN MACON,VALLEIRY,A
74520010,Carrefour Market,4610800,596900,74520,37 chemin des artisans,Valleiry,R
74520011,TotalEnergies,4611091.9720574,597894.24170188,74520,ACQUIT EST,Valleiry,R
74520012,Avia,4609635.9523289,596417.98471,74520,A 40 AIRE DE VALLEIRY SUD,Valleiry,A
74540001,TotalEnergies,4581900,600400,74540,ROUTE D'AIX LES BAINS N° 1463,Alby-sur-Chéran,R
74540002,Elan,4580200,597400,74540,224 route d'Annecy,Saint-Félix,R
74550001,Elan,4630400,643700,74550,81 Route de Thonon,PERRIGNIER,R
74570004,Carrefour Market,4600600,618700,74570,81 ROUTE DU PLOT,GROISY,R
